Type,Library,Test,Result
1. Parse Validation,boostjson (C++11),y_string_with_del_character,true
1. Parse Validation,boostjson (C++11),y_object_duplicated_key_and_value,true
1. Parse Validation,boostjson (C++11),y_string_accepted_surrogate_pairs,true
1. Parse Validation,boostjson (C++11),y_array_empty,true
1. Parse Validation,boostjson (C++11),pass03,true
1. Parse Validation,boostjson (C++11),y_structure_true_in_array,true
1. Parse Validation,boostjson (C++11),y_string_escaped_control_character,true
1. Parse Validation,boostjson (C++11),y_string_two-byte-utf-8,true
1. Parse Validation,boostjson (C++11),y_string_unicode_U+200B_ZERO_WIDTH_SPACE,true
1. Parse Validation,boostjson (C++11),y_string_accepted_surrogate_pair,true
1. Parse Validation,boostjson (C++11),y_number_real_capital_e_neg_exp,true
1. Parse Validation,boostjson (C++11),y_structure_lonely_true,true
1. Parse Validation,boostjson (C++11),y_number_real_fraction_exponent,true
1. Parse Validation,boostjson (C++11),y_string_backslash_and_u_escaped_zero,true
1. Parse Validation,boostjson (C++11),y_string_nonCharacterInUTF-8_U+10FFFF,true
1. Parse Validation,boostjson (C++11),y_number,true
1. Parse Validation,boostjson (C++11),y_number_real_capital_e_pos_exp,true
1. Parse Validation,boostjson (C++11),y_array_false,true
1. Parse Validation,boostjson (C++11),y_array_with_1_and_newline,true
1. Parse Validation,boostjson (C++11),y_number_0e1,true
1. Parse Validation,boostjson (C++11),y_string_reservedCharacterInUTF-8_U+1BFFF,true
1. Parse Validation,boostjson (C++11),y_array_with_trailing_space,true
1. Parse Validation,boostjson (C++11),y_string_comments,true
1. Parse Validation,boostjson (C++11),y_string_three-byte-utf-8,true
1. Parse Validation,boostjson (C++11),y_string_double_escape_n,true
1. Parse Validation,boostjson (C++11),y_array_empty-string,true
1. Parse Validation,boostjson (C++11),y_object_empty,true
1. Parse Validation,boostjson (C++11),y_object_simple,true
1. Parse Validation,boostjson (C++11),y_string_one-byte-utf-8,true
1. Parse Validation,boostjson (C++11),y_number_real_capital_e,true
1. Parse Validation,boostjson (C++11),y_object_long_strings,true
1. Parse Validation,boostjson (C++11),y_string_utf8,true
1. Parse Validation,boostjson (C++11),y_object_empty_key,true
1. Parse Validation,boostjson (C++11),y_string_unicode_U+2064_invisible_plus,true
1. Parse Validation,boostjson (C++11),y_structure_whitespace_array,true
1. Parse Validation,boostjson (C++11),y_object_duplicated_key,true
1. Parse Validation,boostjson (C++11),y_array_with_leading_space,true
1. Parse Validation,boostjson (C++11),y_string_space,true
1. Parse Validation,boostjson (C++11),pass01,true
1. Parse Validation,boostjson (C++11),y_object_escaped_null_in_key,true
1. Parse Validation,boostjson (C++11),y_number_negative_one,true
1. Parse Validation,boostjson (C++11),y_structure_lonely_false,true
1. Parse Validation,boostjson (C++11),y_structure_trailing_newline,true
