Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
1. Parse,boostjson (C++11),citm_catalog,3.970622,2242632,2254928,39021,0
1. Parse,boostjson (C++11),canada,8.008784,4464696,4857920,56070,0
1. Parse,boostjson (C++11),twitter,2.788214,1193024,1199176,17403,0
2. Stringify,boostjson (C++11),citm_catalog,1.728803,1048624,1573040,31,0
2. Stringify,boostjson (C++11),canada,10.742347,8388656,12583088,34,0
2. Stringify,boostjson (C++11),twitter,0.937454,1048624,1573008,25,0
4. Statistics,boostjson (C++11),citm_catalog,0.341632,0,0,0,0
4. Statistics,boostjson (C++11),canada,0.834697,0,0,0,0
4. Statistics,boostjson (C++11),twitter,0.241542,0,0,0,0
1. Parse,cJSON (C),citm_catalog,7.588525,3366792,3366792,64383,0
1. Parse,cJSON (C),canada,44.889003,12037248,12037248,167192,0
1. Parse,cJSON (C),twitter,3.452049,1618192,1618192,32014,0
2. Stringify,cJSON (C),citm_catalog,12.485525,526944,526944,9,0
2. Stringify,cJSON (C),canada,150.517757,2102144,2102144,11,0
2. Stringify,cJSON (C),twitter,3.689143,529712,529712,9,0
3. Prettify,cJSON (C),citm_catalog,13.065516,1052048,1052048,10,0
3. Prettify,cJSON (C),canada,150.292787,2109680,2109680,11,0
3. Prettify,cJSON (C),twitter,3.918315,1058064,1058064,10,0
4. Statistics,cJSON (C),citm_catalog,0.839490,0,0,0,0
4. Statistics,cJSON (C),canada,3.201160,0,0,0,0
4. Statistics,cJSON (C),twitter,0.496697,0,0,0,0
1. Parse,JSON Voorhees (C++),citm_catalog,44.412576,10067504,19671352,291908,0
1. Parse,JSON Voorhees (C++),canada,153.205155,38901680,77822744,678577,0
1. Parse,JSON Voorhees (C++),twitter,18.147717,2475184,4948776,114643,0
2. Stringify,JSON Voorhees (C++),citm_catalog,11.758143,501456,1025752,13,0
2. Stringify,JSON Voorhees (C++),canada,67.229006,1043344,2091928,14,0
2. Stringify,JSON Voorhees (C++),twitter,14.446215,568496,1617080,14,0
3. Prettify,JSON Voorhees (C++),citm_catalog,35.583414,1728352,3825512,15,0
3. Prettify,JSON Voorhees (C++),canada,186.498402,7064496,15453112,17,0
3. Prettify,JSON Voorhees (C++),twitter,20.644471,868896,1917480,14,0
4. Statistics,JSON Voorhees (C++),citm_catalog,1.359723,0,0,0,0
4. Statistics,JSON Voorhees (C++),canada,7.365598,0,0,0,0
4. Statistics,JSON Voorhees (C++),twitter,0.459078,0,0,0,0
1. Parse,sajson (C++),citm_catalog,3.519399,2776024,3308304,13,0
1. Parse,sajson (C++),canada,7.045711,6445592,8673616,19,0
1. Parse,sajson (C++),twitter,1.128977,1156040,1422096,11,0
4. Statistics,sajson (C++),citm_catalog,0.310131,0,0,0,0
4. Statistics,sajson (C++),canada,1.211436,0,0,0,0
4. Statistics,sajson (C++),twitter,0.157814,0,0,0,0
1. Parse,Centijson (C),citm_catalog,17.262685,2328408,2328832,60310,0
1. Parse,Centijson (C),canada,54.443566,4904656,4904960,170253,0
1. Parse,Centijson (C),twitter,6.793195,1173032,1174048,28191,0
2. Stringify,Centijson (C),citm_catalog,5.719517,713120,1069856,10956,0
