Type,Library,Test,Result
1. Parse Validation,Centijson (C),pass01,true
1. Parse Validation,Centijson (C),pass02,true
1. Parse Validation,Centijson (C),pass03,true
1. Parse Validation,Centijson (C),fail02,true
1. Parse Validation,Centijson (C),fail03,true
1. Parse Validation,Centijson (C),fail04,true
1. Parse Validation,Centijson (C),fail05,true
1. Parse Validation,Centijson (C),fail06,true
1. Parse Validation,Centijson (C),fail07,true
1. Parse Validation,Centijson (C),fail08,true
1. Parse Validation,Centijson (C),fail09,true
1. Parse Validation,Centijson (C),fail10,true
1. Parse Validation,Centijson (C),fail11,true
1. Parse Validation,Centijson (C),fail12,true
1. Parse Validation,Centijson (C),fail13,true
1. Parse Validation,Centijson (C),fail14,true
1. Parse Validation,Centijson (C),fail15,true
1. Parse Validation,Centijson (C),fail16,true
1. Parse Validation,Centijson (C),fail17,true
1. Parse Validation,Centijson (C),fail19,true
1. Parse Validation,Centijson (C),fail20,true
1. Parse Validation,Centijson (C),fail21,true
1. Parse Validation,Centijson (C),fail22,true
1. Parse Validation,Centijson (C),fail23,true
1. Parse Validation,Centijson (C),fail24,true
1. Parse Validation,Centijson (C),fail25,true
1. Parse Validation,Centijson (C),fail26,true
1. Parse Validation,Centijson (C),fail27,true
1. Parse Validation,Centijson (C),fail28,true
1. Parse Validation,Centijson (C),fail29,true
1. Parse Validation,Centijson (C),fail30,true
1. Parse Validation,Centijson (C),fail31,true
1. Parse Validation,Centijson (C),fail32,true
1. Parse Validation,Centijson (C),fail33,true
1. Parse Validation,Centijson (C),number_-9223372036854775808,true
1. Parse Validation,Centijson (C),string_2_escaped_invalid_codepoints,false
1. Parse Validation,Centijson (C),string_1_invalid_codepoint,false
1. Parse Validation,Centijson (C),object_same_key_unclear_values,false
1. Parse Validation,Centijson (C),object_key_nfc_nfd,true
1. Parse Validation,Centijson (C),string_3_escaped_invalid_codepoints,false
1. Parse Validation,Centijson (C),number_1.000000000000000005,true
1. Parse Validation,Centijson (C),string_with_escaped_NULL,true
