Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
1. Parse,boostjson (C++11),canada.json,8.000006,4464536,4857760,56070,0
1. Parse,boostjson (C++11),citm_catalog.json,3.814501,2242952,2255248,39021,0
1. Parse,boostjson (C++11),twitter.json,2.762523,1192928,1199080,17403,0
2. Stringify,boostjson (C++11),canada.json,10.964069,8388656,12583088,34,0
2. Stringify,boostjson (C++11),citm_catalog.json,1.619040,1048624,1573040,31,0
2. Stringify,boostjson (C++11),twitter.json,0.929606,1048624,1573008,25,0
4. Statistics,boostjson (C++11),canada.json,0.831758,0,0,0,0
4. Statistics,boostjson (C++11),citm_catalog.json,0.336815,0,0,0,0
4. Statistics,boostjson (C++11),twitter.json,0.145570,0,0,0,0
1. Parse,json-c (C),canada.json,70.693242,13828208,13853512,335596,0
1. Parse,json-c (C),citm_catalog.json,20.029978,9910328,9911576,89771,0
1. Parse,json-c (C),twitter.json,8.156902,2184352,2186368,19051,0
2. Stringify,json-c (C),canada.json,9.198840,4194360,4194360,20,0
2. Stringify,json-c (C),citm_catalog.json,5.497036,524344,524344,17,0
2. Stringify,json-c (C),twitter.json,2.533277,524344,524344,17,0
3. Prettify,json-c (C),canada.json,13.038367,8388664,8388664,21,0
3. Prettify,json-c (C),citm_catalog.json,6.632212,2097208,2097208,19,0
3. Prettify,json-c (C),twitter.json,2.855336,1048632,1048632,18,0
4. Statistics,json-c (C),canada.json,6.009201,0,0,0,0
4. Statistics,json-c (C),citm_catalog.json,1.429973,0,0,0,0
4. Statistics,json-c (C),twitter.json,0.353886,0,0,0,0
1. Parse,cJSON (C),canada.json,43.053751,12054464,12054464,167192,0
1. Parse,cJSON (C),citm_catalog.json,7.914389,3364440,3364440,64383,0
1. Parse,cJSON (C),twitter.json,2.996789,1618192,1618192,32014,0
2. Stringify,cJSON (C),canada.json,147.594479,2102144,2102144,11,0
2. Stringify,cJSON (C),citm_catalog.json,12.586511,526944,526944,9,0
2. Stringify,cJSON (C),twitter.json,3.646099,529712,529712,9,0
3. Prettify,cJSON (C),canada.json,147.728571,2109680,2109680,11,0
3. Prettify,cJSON (C),citm_catalog.json,13.120617,1052048,1052048,10,0
3. Prettify,cJSON (C),twitter.json,3.826998,1058064,1058064,10,0
4. Statistics,cJSON (C),canada.json,2.542673,0,0,0,0
4. Statistics,cJSON (C),citm_catalog.json,0.661202,0,0,0,0
4. Statistics,cJSON (C),twitter.json,0.409649,0,0,0,0
1. Parse,JSON Voorhees (C++),canada.json,150.279694,38892336,77799624,678577,0
1. Parse,JSON Voorhees (C++),citm_catalog.json,40.743895,10067360,19672296,291908,0
1. Parse,JSON Voorhees (C++),twitter.json,20.104022,2482032,4956328,114643,0
2. Stringify,JSON Voorhees (C++),canada.json,66.593520,1043344,2091928,14,0
2. Stringify,JSON Voorhees (C++),citm_catalog.json,11.658382,501456,1025752,13,0
2. Stringify,JSON Voorhees (C++),twitter.json,13.547708,568496,1617080,14,0
3. Prettify,JSON Voorhees (C++),canada.json,185.682547,7064496,15453112,17,0
3. Prettify,JSON Voorhees (C++),citm_catalog.json,35.590531,1728352,3825512,15,0
3. Prettify,JSON Voorhees (C++),twitter.json,19.970927,868896,1917480,14,0
4. Statistics,JSON Voorhees (C++),canada.json,5.947163,0,0,0,0
4. Statistics,JSON Voorhees (C++),citm_catalog.json,1.374958,0,0,0,0
4. Statistics,JSON Voorhees (C++),twitter.json,0.560118,0,0,0,0
1. Parse,sajson (C++),canada.json,7.412768,6445592,8673616,19,0
1. Parse,sajson (C++),citm_catalog.json,3.415480,2776024,3308304,13,0
1. Parse,sajson (C++),twitter.json,1.104980,1156040,1422080,11,0
4. Statistics,sajson (C++),canada.json,1.217709,0,0,0,0
4. Statistics,sajson (C++),citm_catalog.json,0.320853,0,0,0,0
4. Statistics,sajson (C++),twitter.json,0.162877,0,0,0,0
1. Parse,Centijson (C),canada.json,53.461286,4903680,4903984,170253,0
1. Parse,Centijson (C),citm_catalog.json,16.717098,2328088,2328512,60310,0
1. Parse,Centijson (C),twitter.json,6.737850,1178344,1179360,28191,0
2. Stringify,Centijson (C),canada.json,70.415981,2300752,3451200,27,0
2. Stringify,Centijson (C),citm_catalog.json,5.293942,713120,1069856,10956,0
2. Stringify,Centijson (C),twitter.json,3.860343,495056,743128,1283,0
3. Prettify,Centijson (C),canada.json,74.783062,4756816,7135280,28,0
3. Prettify,Centijson (C),citm_catalog.json,7.188744,1668880,2503488,10958,0
3. Prettify,Centijson (C),twitter.json,4.457122,1124912,1688112,1286,0
4. Statistics,Centijson (C),canada.json,1.912262,0,0,0,0
4. Statistics,Centijson (C),citm_catalog.json,1.710826,0,0,0,0
4. Statistics,Centijson (C),twitter.json,1.771194,0,0,0,0
5. Sax Round-trip,Centijson (C),canada.json,16.892998,3117888,4676904,28,0
5. Sax Round-trip,Centijson (C),citm_catalog.json,14.406463,713120,1069872,30,0
5. Sax Round-trip,Centijson (C),twitter.json,4.950227,640304,961296,33,0
6. SaxStatistics,Centijson (C),canada.json,12.182505,0,104,5,0
6. SaxStatistics,Centijson (C),citm_catalog.json,11.612579,0,224,9,0
6. SaxStatistics,Centijson (C),twitter.json,3.165384,0,864,12,0
1. Parse,yyjson (C),canada.json,8.032786,8254024,8254024,3,0
1. Parse,yyjson (C),citm_catalog.json,1.786792,3454568,3454568,3,0
1. Parse,yyjson (C),twitter.json,0.676636,1263192,1263192,3,0
2. Stringify,yyjson (C),canada.json,7.447213,3009456,3009456,2,0
2. Stringify,yyjson (C),citm_catalog.json,0.588831,1145744,1145744,2,0
2. Stringify,yyjson (C),twitter.json,0.508117,490752,490752,2,0
3. Prettify,yyjson (C),canada.json,8.316964,12037632,12037632,4,0
3. Prettify,yyjson (C),citm_catalog.json,0.960020,2036800,2036800,2,0
3. Prettify,yyjson (C),twitter.json,0.631107,872384,872384,2,0
4. Statistics,yyjson (C),canada.json,0.806559,0,0,0,0
4. Statistics,yyjson (C),citm_catalog.json,0.222089,0,0,0,0
4. Statistics,yyjson (C),twitter.json,0.125039,0,0,0,0
1. Parse,Sheredom json.h (C),canada.json,19.003980,10163712,10163712,2,0
1. Parse,Sheredom json.h (C),citm_catalog.json,10.761316,2803312,2803312,2,0
1. Parse,Sheredom json.h (C),twitter.json,4.009089,1310352,1310352,2,0
2. Stringify,Sheredom json.h (C),canada.json,79.081923,2251056,2251056,2,0
2. Stringify,Sheredom json.h (C),citm_catalog.json,12.239481,500336,500336,2,0
2. Stringify,Sheredom json.h (C),twitter.json,3.923901,466944,466944,2,0
3. Prettify,Sheredom json.h (C),canada.json,86.333445,8272208,8272208,2,0
3. Prettify,Sheredom json.h (C),citm_catalog.json,13.571414,1753104,1753104,2,0
3. Prettify,Sheredom json.h (C),twitter.json,4.225712,780672,780672,2,0
4. Statistics,Sheredom json.h (C),canada.json,1.086225,0,0,0,0
4. Statistics,Sheredom json.h (C),citm_catalog.json,0.279855,0,0,0,0
4. Statistics,Sheredom json.h (C),twitter.json,0.120332,0,0,0,0
1. Parse,ujson4c (C),canada.json,9.200449,8372320,17376520,11,0
1. Parse,ujson4c (C),citm_catalog.json,5.033255,4178008,11086800,10,0
1. Parse,ujson4c (C),twitter.json,2.260632,4178008,6704048,10,0
4. Statistics,ujson4c (C),canada.json,1.556694,0,0,0,0
4. Statistics,ujson4c (C),citm_catalog.json,0.608359,0,0,0,0
4. Statistics,ujson4c (C),twitter.json,0.251884,0,0,0,0
1. Parse,Vinenthz libjson (C),canada.json,55.587393,24,29064,12,0
1. Parse,Vinenthz libjson (C),citm_catalog.json,20.180519,24,29088,25873,0
1. Parse,Vinenthz libjson (C),twitter.json,8.815725,24,29144,13349,0
2. Stringify,Vinenthz libjson (C),canada.json,67.689621,40,40,1,0
2. Stringify,Vinenthz libjson (C),citm_catalog.json,5.323591,40,40,1,0
2. Stringify,Vinenthz libjson (C),twitter.json,3.859893,40,40,1,0
3. Prettify,Vinenthz libjson (C),canada.json,67.889760,40,40,1,0
3. Prettify,Vinenthz libjson (C),citm_catalog.json,5.267864,40,40,1,0
3. Prettify,Vinenthz libjson (C),twitter.json,4.018700,40,40,1,0
4. Statistics,Vinenthz libjson (C),canada.json,1.016393,0,0,0,0
4. Statistics,Vinenthz libjson (C),citm_catalog.json,0.467297,0,0,0,0
4. Statistics,Vinenthz libjson (C),twitter.json,0.229109,0,0,0,0
5. Sax Round-trip,Vinenthz libjson (C),canada.json,20.483072,40,4408,3,0
5. Sax Round-trip,Vinenthz libjson (C),citm_catalog.json,14.938512,40,4408,3,0
5. Sax Round-trip,Vinenthz libjson (C),twitter.json,7.921192,40,4408,3,0
6. SaxStatistics,Vinenthz libjson (C),canada.json,18.385692,0,4368,2,0
6. SaxStatistics,Vinenthz libjson (C),citm_catalog.json,12.088126,0,4368,2,0
6. SaxStatistics,Vinenthz libjson (C),twitter.json,4.545829,0,4368,2,0
1. Parse,strdup (C),canada.json,0.382465,24,24,1,0
1. Parse,strdup (C),citm_catalog.json,0.271103,24,24,1,0
1. Parse,strdup (C),twitter.json,0.041115,24,24,1,0
2. Stringify,strdup (C),canada.json,0.306242,24,24,1,0
2. Stringify,strdup (C),citm_catalog.json,0.224217,24,24,1,0
2. Stringify,strdup (C),twitter.json,0.038147,24,24,1,0
1. Parse,ccan json (C),canada.json,32.225862,9363760,9363760,167193,0
1. Parse,ccan json (C),citm_catalog.json,7.519474,2823912,2823912,68345,0
1. Parse,ccan json (C),twitter.json,4.565109,1553616,1553616,43523,0
2. Stringify,ccan json (C),canada.json,64.838425,2097184,2097184,19,0
2. Stringify,ccan json (C),citm_catalog.json,8.619361,524320,524320,17,0
2. Stringify,ccan json (C),twitter.json,3.456217,524320,524320,17,0
3. Prettify,ccan json (C),canada.json,81.342352,8388640,8388640,21,0
3. Prettify,ccan json (C),citm_catalog.json,11.927485,2097184,2097184,19,0
3. Prettify,ccan json (C),twitter.json,4.300919,1048608,1048608,18,0
4. Statistics,ccan json (C),canada.json,1.831204,0,0,0,0
4. Statistics,ccan json (C),citm_catalog.json,0.631899,0,0,0,0
4. Statistics,ccan json (C),twitter.json,0.297823,0,0,0,0
1. Parse,Arduino Json (C++),canada.json,13.616619,8804776,8804776,3,0
1. Parse,Arduino Json (C++),citm_catalog.json,6.743382,8280920,8280920,3,0
1. Parse,Arduino Json (C++),twitter.json,4.686035,7185240,7185240,3,0
2. Stringify,Arduino Json (C++),canada.json,9.183656,1966128,2949176,18,0
2. Stringify,Arduino Json (C++),citm_catalog.json,3.946266,983088,1474616,17,0
2. Stringify,Arduino Json (C++),twitter.json,4.211523,491568,737336,16,0
3. Prettify,Arduino Json (C++),canada.json,27.117728,7864368,11796536,20,0
3. Prettify,Arduino Json (C++),citm_catalog.json,7.280986,1966128,2949176,18,0
3. Prettify,Arduino Json (C++),twitter.json,5.548396,983088,1474616,17,0
4. Statistics,Arduino Json (C++),canada.json,0.000042,0,0,0,0
4. Statistics,Arduino Json (C++),citm_catalog.json,0.000042,0,0,0,0
4. Statistics,Arduino Json (C++),twitter.json,0.000042,0,0,0,0
1. Parse,nbsdx SimpleJSON (C++11),canada.json,155.174876,38892336,80050184,787463,0
1. Parse,nbsdx SimpleJSON (C++11),citm_catalog.json,37.207307,10067216,21398152,321232,0
1. Parse,nbsdx SimpleJSON (C++11),twitter.json,19.168234,2475136,5579640,145310,0
2. Stringify,nbsdx SimpleJSON (C++11),canada.json,77.313175,2811760,4217624,169650,0
2. Stringify,nbsdx SimpleJSON (C++11),citm_catalog.json,14.981107,2055040,3082536,95521,0
2. Stringify,nbsdx SimpleJSON (C++11),twitter.json,6.621428,1268240,1902344,32912,0
3. Prettify,nbsdx SimpleJSON (C++11),canada.json,81.029546,2811888,4217824,336835,0
3. Prettify,nbsdx SimpleJSON (C++11),citm_catalog.json,18.386093,2962256,4443368,159216,0
3. Prettify,nbsdx SimpleJSON (C++11),twitter.json,8.348552,1524544,2286792,61650,0
4. Statistics,nbsdx SimpleJSON (C++11),canada.json,4.827722,0,40,1,0
4. Statistics,nbsdx SimpleJSON (C++11),citm_catalog.json,0.948726,0,112,730,0
4. Statistics,nbsdx SimpleJSON (C++11),twitter.json,1.576040,0,736,5166,0
1. Parse,Qt (C++),canada.json,33.929389,48,48,2,0
1. Parse,Qt (C++),citm_catalog.json,9.850807,48,48,2,0
1. Parse,Qt (C++),twitter.json,3.746288,48,48,2,0
2. Stringify,Qt (C++),canada.json,44.369851,24,24,1,0
2. Stringify,Qt (C++),citm_catalog.json,12.330811,24,24,1,0
2. Stringify,Qt (C++),twitter.json,7.324651,24,24,1,0
3. Prettify,Qt (C++),canada.json,50.891845,24,24,1,0
3. Prettify,Qt (C++),citm_catalog.json,14.404444,24,24,1,0
3. Prettify,Qt (C++),twitter.json,7.668784,24,24,1,0
4. Statistics,Qt (C++),canada.json,5.155838,0,0,0,0
4. Statistics,Qt (C++),citm_catalog.json,2.876184,0,0,0,0
4. Statistics,Qt (C++),twitter.json,1.633355,0,0,0,0
1. Parse,Configuru (C++11),canada.json,44.293094,10437464,10450040,170258,0
1. Parse,Configuru (C++11),citm_catalog.json,19.148997,4867040,4867120,56007,0
1. Parse,Configuru (C++11),twitter.json,8.627497,2340128,2340208,27879,0
2. Stringify,Configuru (C++11),canada.json,224.710829,3932208,5898368,23,0
2. Stringify,Configuru (C++11),citm_catalog.json,5.270957,983088,1474824,10952,0
2. Stringify,Configuru (C++11),twitter.json,2.315855,491568,737888,1280,0
3. Prettify,Configuru (C++11),canada.json,229.539484,3932208,5898368,23,0
3. Prettify,Configuru (C++11),citm_catalog.json,7.285704,983088,1474776,10952,0
3. Prettify,Configuru (C++11),twitter.json,3.535512,983088,1475168,1281,0
4. Statistics,Configuru (C++11),canada.json,2.103647,0,0,0,0
4. Statistics,Configuru (C++11),citm_catalog.json,0.836782,0,0,0,0
